date,channel,spend_gbp,impressions,clicks
2024-01-01,meta,275.85,32452,584
2024-01-01,google,180.72,15060,527
2024-01-01,tiktok,137.95,27589,606
2024-01-02,meta,343.28,40385,726
2024-01-02,google,187.6,15633,547
2024-01-02,tiktok,117.87,23574,518
2024-01-03,meta,360.76,42442,763
2024-01-03,google,179.93,14994,524
2024-01-03,tiktok,125.89,25178,553
2024-01-04,meta,287.66,33842,609
2024-01-04,google,205.41,17117,599
2024-01-04,tiktok,108.87,21774,479
2024-01-05,meta,328.54,38651,695
2024-01-05,google,176.47,14705,514
2024-01-05,tiktok,132.04,26407,580
2024-01-06,meta,309.33,36391,655
2024-01-06,google,196.5,16375,573
2024-01-06,tiktok,131.19,26238,577
2024-01-07,meta,300.85,35394,637
2024-01-07,google,167.96,13996,489
2024-01-07,tiktok,105.87,21174,465
2024-01-08,meta,337.17,39667,714
2024-01-08,google,184.66,15388,538
2024-01-08,tiktok,126.25,25250,555
2024-01-09,meta,366.25,43088,775
2024-01-09,google,202.38,16865,590
2024-01-09,tiktok,118.29,23658,520
2024-01-10,meta,340.95,40111,721
2024-01-10,google,183.71,15309,535
2024-01-10,tiktok,120.98,24196,532
2024-01-11,meta,310.38,36515,657
2024-01-11,google,160.93,13410,469
2024-01-11,tiktok,123.77,24753,544
2024-01-12,meta,281.66,33136,596
2024-01-12,google,196.38,16364,572
2024-01-12,tiktok,114.67,22934,504
2024-01-13,meta,302.31,35565,640
2024-01-13,google,192.07,16005,560
2024-01-13,tiktok,113.29,22658,498
2024-01-14,meta,318.24,37440,673
2024-01-14,google,168.34,14028,490
2024-01-14,tiktok,132.68,26536,583
2024-01-15,meta,324.17,38137,686
2024-01-15,google,193.01,16084,562
2024-01-15,tiktok,119.79,23958,527
2024-01-16,meta,281.49,33116,596
2024-01-16,google,187.71,15642,547
2024-01-16,tiktok,128.44,25688,565
2024-01-17,meta,290.53,34180,615
2024-01-17,google,164.06,13671,478
2024-01-17,tiktok,137.14,27427,603
2024-01-18,meta,314.81,37036,666
2024-01-18,google,203.8,16983,594
2024-01-18,tiktok,110.2,22040,484
2024-01-19,meta,348.13,40956,737
2024-01-19,google,164.51,13709,479
2024-01-19,tiktok,112.76,22552,496
2024-01-20,meta,319.53,37591,676
2024-01-20,google,201.42,16785,587
2024-01-20,tiktok,133.67,26734,588
2024-01-21,meta,331.16,38960,701
2024-01-21,google,175.84,14653,512
2024-01-21,tiktok,105.41,21082,463
2024-01-22,meta,316.62,37249,670
2024-01-22,google,172.48,14373,503
2024-01-22,tiktok,103.82,20764,456
2024-01-23,meta,282.81,33271,598
2024-01-23,google,154.1,12841,449
2024-01-23,tiktok,102.73,20546,452
2024-01-24,meta,276.16,32489,584
2024-01-24,google,179.93,14994,524
