customer_id,acquisition_channel,acquisition_date,country,email_subscribed
CUST00001,meta,2024-09-05,DE,True
CUST00002,meta,2024-03-27,GB,True
CUST00003,google,2024-08-17,GB,True
CUST00004,google,2024-03-31,GB,True
CUST00005,tiktok,2024-10-05,US,True
CUST00006,google,2024-06-23,FR,True
CUST00007,organic,2024-10-21,DE,True
CUST00008,meta,2024-04-17,CA,True
CUST00009,meta,2024-02-09,GB,True
CUST00010,meta,2024-08-22,GB,False
CUST00011,meta,2024-07-27,NL,True
CUST00012,meta,2024-08-02,US,True
CUST00013,meta,2024-08-12,GB,True
CUST00014,meta,2024-10-27,GB,True
CUST00015,meta,2024-02-09,US,True
CUST00016,meta,2024-03-04,GB,True
CUST00017,email,2024-09-29,US,True
CUST00018,tiktok,2024-07-26,GB,False
CUST00019,referral,2024-04-14,US,True
CUST00020,meta,2024-09-22,FR,True
CUST00021,organic,2024-03-29,FR,False
CUST00022,meta,2024-04-13,NL,True
CUST00023,tiktok,2024-03-23,US,False
CUST00024,meta,2024-02-25,GB,True
CUST00025,google,2024-10-17,AU,False
CUST00026,meta,2024-05-20,CA,False
CUST00027,organic,2024-02-05,AU,True
CUST00028,meta,2024-08-31,DE,True
CUST00029,meta,2024-05-29,CA,True
CUST00030,organic,2024-08-02,GB,True
CUST00031,organic,2024-09-21,FR,True
CUST00032,meta,2024-02-13,GB,True
CUST00033,organic,2024-10-07,GB,True
CUST00034,email,2024-07-16,AU,True
CUST00035,tiktok,2024-11-22,US,True
CUST00036,organic,2024-05-25,US,True
CUST00037,meta,2024-08-20,GB,True
CUST00038,organic,2024-11-18,GB,True
CUST00039,email,2024-08-08,GB,False
CUST00040,meta,2024-11-12,FR,True
CUST00041,tiktok,2024-02-19,NL,True
CUST00042,google,2024-04-12,US,True
CUST00043,organic,2024-07-28,DE,True
CUST00044,referral,2024-06-03,US,False
CUST00045,google,2024-07-20,GB,True
CUST00046,meta,2024-05-11,US,True
CUST00047,meta,2024-01-03,US,True
CUST00048,email,2024-01-27,AU,True
CUST00049,meta,2024-07-18,DE,True
CUST00050,meta,2024-07-28,NL,False
CUST00051,organic,2024-04-04,FR,True
