order_id,customer_id,order_date,channel,category,country,gross_revenue,discount,net_revenue,returned,status
ORD000001,CUST03725,2024-09-23,google,tops,NL,45.18,0.0,45.18,False,completed
ORD000002,CUST01502,2024-06-05,google,bottoms,US,60.76,0.0,60.76,False,completed
ORD000003,CUST02642,2024-09-23,meta,outerwear,DE,173.77,0.0,173.77,False,completed
ORD000004,CUST01494,2024-05-31,referral,accessories,CA,30.52,0.0,30.52,False,completed
ORD000005,CUST00379,2024-10-25,organic,outerwear,FR,100.81,0.0,15.12,True,returned
ORD000006,CUST01046,2024-12-02,tiktok,tops,GB,41.1,0.0,41.1,False,completed
ORD000007,CUST00762,2024-11-02,email,bottoms,FR,60.66,0.0,9.1,True,returned
ORD000008,CUST03571,2024-03-31,tiktok,outerwear,US,150.97,0.0,150.97,False,completed
ORD000009,CUST03551,2024-09-26,tiktok,tops,US,52.93,5.43,47.5,False,completed
ORD000010,CUST00801,2024-06-11,email,tops,US,39.65,0.0,39.65,False,completed
ORD000011,CUST00733,2024-12-16,meta,tops,US,52.65,0.0,52.65,False,completed
ORD000012,CUST00626,2024-08-19,meta,footwear,GB,89.69,0.0,13.45,True,returned
ORD000013,CUST03139,2024-04-23,meta,bottoms,GB,53.08,6.38,46.7,False,completed
ORD000014,CUST00199,2024-10-11,organic,tops,US,40.76,0.0,40.76,False,completed
ORD000015,CUST03418,2024-12-02,email,outerwear,US,122.81,0.0,122.81,False,completed
ORD000016,CUST00718,2024-07-09,organic,outerwear,FR,111.56,0.0,111.56,False,completed
ORD000017,CUST00174,2024-11-09,meta,footwear,GB,81.79,0.0,12.27,True,returned
ORD000018,CUST02007,2024-09-21,email,accessories,DE,43.41,0.0,43.41,False,completed
ORD000019,CUST03641,2024-10-09,meta,bottoms,GB,85.66,0.0,85.66,False,completed
ORD000020,CUST02366,2024-12-20,meta,accessories,US,39.35,0.0,5.9,True,returned
ORD000021,CUST00684,2024-11-26,organic,accessories,GB,31.53,0.0,4.73,True,returned
ORD000022,CUST00301,2024-12-23,tiktok,footwear,GB,132.62,0.0,19.89,True,returned
ORD000023,CUST01568,2024-08-09,meta,tops,GB,36.86,0.0,36.86,False,completed
ORD000024,CUST00883,2024-11-11,meta,accessories,US,49.01,0.0,49.01,False,completed
ORD000025,CUST03108,2024-12-26,tiktok,tops,GB,64.58,15.18,49.4,False,completed
ORD000026,CUST03702,2024-12-16,google,tops,GB,50.37,0.0,50.37,False,completed
ORD000027,CUST01522,2024-05-01,meta,bottoms,FR,73.62,0.0,11.04,True,returned
ORD000028,CUST03675,2024-10-08,google,tops,US,37.91,0.0,37.91,False,completed
ORD000029,CUST01584,2024-11-15,organic,accessories,GB,30.19,0.0,30.19,False,completed
ORD000030,CUST03364,2024-12-04,google,outerwear,FR,99.89,0.0,99.89,False,completed
ORD000031,CUST03471,2024-12-03,meta,tops,NL,47.93,0.0,47.93,False,completed
ORD000032,CUST00046,2024-06-19,meta,tops,US,61.6,8.18,1.06,True,returned
ORD000033,CUST02135,2024-08-28,meta,tops,US,50.52,0.0,50.52,False,completed
ORD000034,CUST02547,2024-10-28,google,tops,NL,37.83,0.0,37.83,False,completed
ORD000035,CUST00506,2024-12-11,referral,bottoms,CA,77.35,0.0,77.35,False,completed
ORD000036,CUST00149,2024-12-22,meta,accessories,GB,48.4,11.87,36.53,False,completed
ORD000037,CUST03379,2024-09-01,tiktok,bottoms,GB,89.14,0.0,89.14,False,completed
ORD000038,CUST00590,2024-02-29,meta,accessories,DE,33.5,4.46,29.04,False,completed
ORD000039,CUST00181,2024-06-05,organic,tops,GB,40.79,0.0,40.79,False,completed
ORD000040,CUST00794,2024-09-02,email,accessories,GB,52.73,0.0,52.73,False,completed
ORD000041,CUST02328,2024-07-22,meta,footwear,GB,87.16,9.21,77.95,False,completed
ORD000042,CUST02979,2024-11-16,tiktok,accessories,NL,34.13,6.86,27.27,False,completed
ORD000043,CUST00468,2024-09-04,organic,outerwear,DE,173.92,0.0,173.92,False,completed
ORD000044,CUST02982,2024-10-16,google,accessories,DE,54.76,0.0,54.76,False,completed
ORD000045,CUST02288,2024-12-04,tiktok,accessories,US,50.8,0.0,50.8,False,completed
ORD000046,CUST02158,2024-08-11,meta,outerwear,GB,176.19,0.0,176.19,False,completed
ORD000047,CUST03303,2024-12-27,meta,accessories,US,34.87,4.91,29.96,False,completed
ORD000048,CUST02085,2024-09-08,google,bottoms,GB,89.66,0.0,89.66,False,completed
ORD000049,CUST02424,2024-10-29,organic,accessories,GB,35.21,0.0,35.21,False,completed
ORD000050,CUST02274,2024-10-02,meta,accessories,US,34.13,0.0,34.13,False,completed
ORD000051,CUST00628,2024-10-15,tiktok,outerwear,US,144.56,26.74,117.82,False,completed
ORD000052,CUST01226,2024-11-26,organic,tops,GB,58.43,0.0,58.43,False,completed
