date,channel,spend_gbp,impressions,clicks
2024-01-01,meta,333.38,39221,705
2024-01-01,google,154.35,12862,450
2024-01-01,tiktok,111.9,22380,492
2024-01-02,meta,293.43,34521,621
2024-01-02,google,192.77,16064,562
2024-01-02,tiktok,126.36,25272,555
2024-01-03,meta,357.65,42076,757
2024-01-03,google,157.69,13140,459
2024-01-03,tiktok,117.19,23438,515
2024-01-04,meta,274.86,32336,582
2024-01-04,google,164.81,13734,480
2024-01-04,tiktok,120.19,24038,528
2024-01-05,meta,274.55,32300,581
2024-01-05,google,163.74,13645,477
2024-01-05,tiktok,125.4,25080,551
2024-01-06,meta,324.31,38154,686
2024-01-06,google,164.9,13741,480
2024-01-06,tiktok,123.21,24642,542
2024-01-07,meta,349.71,41142,740
2024-01-07,google,153.35,12779,447
2024-01-07,tiktok,131.01,26202,576
2024-01-08,meta,339.02,39884,717
2024-01-08,google,171.37,14280,499
2024-01-08,tiktok,107.6,21520,473
2024-01-09,meta,363.89,42810,770
2024-01-09,google,171.18,14265,499
2024-01-09,tiktok,105.34,21068,463
2024-01-10,meta,281.28,33091,595
2024-01-10,google,198.76,16563,579
2024-01-10,tiktok,123.73,24746,544
2024-01-11,meta,349.48,41115,740
2024-01-11,google,192.41,16034,561
2024-01-11,tiktok,121.3,24259,533
2024-01-12,meta,365.42,42990,773
2024-01-12,google,173.44,14453,505
2024-01-12,tiktok,121.87,24374,536
2024-01-13,meta,351.62,41367,744
2024-01-13,google,186.4,15533,543
2024-01-13,tiktok,133.02,26604,585
2024-01-14,meta,327.43,38521,693
2024-01-14,google,191.05,15920,557
2024-01-14,tiktok,103.65,20730,456
2024-01-15,meta,293.88,34574,622
2024-01-15,google,168.63,14052,491
2024-01-15,tiktok,104.87,20974,461
2024-01-16,meta,294.35,34629,623
2024-01-16,google,158.45,13204,462
2024-01-16,tiktok,112.01,22402,492
2024-01-17,meta,333.03,39180,705
2024-01-17,google,172.7,14391,503
2024-01-17,tiktok,115.33,23066,507
2024-01-18,meta,292.11,34365,618
2024-01-18,google,167.42,13951,488
2024-01-18,tiktok,135.72,27144,597
2024-01-19,meta,334.21,39318,707
2024-01-19,google,185.89,15490,542
2024-01-19,tiktok,108.16,21631,475
2024-01-20,meta,342.0,40235,724
2024-01-20,google,161.82,13485,471
2024-01-20,tiktok,115.66,23131,508
2024-01-21,meta,366.99,43175,777
2024-01-21,google,187.56,15630,547
2024-01-21,tiktok,122.05,24410,537
2024-01-22,meta,337.72,39731,715
2024-01-22,google,198.51,16542,578
2024-01-22,tiktok,129.94,25988,571
2024-01-23,meta,293.99,34587,622
2024-01-23,google,154.73,12894,451
2024-01-23,tiktok,113.36,22672,498
2024-01-24,meta,297.7,35023,630
2024-01-24,google,164.39,13699,479
2024-01-24,tiktok,135.94,27188,598
2024-01-25,meta,356.13,41897,754
2024-01-25,google,169.99,14165,495
2024-01-25,tiktok,125.6,25119,552
2024-01-26,meta,309.98,36468,656
2024-01-26,google,202.39,16865,590
2024-01-26,tiktok,118.52,23704,521
2024-01-27,meta,297.43,34991,629
2024-01-27,google,166.32,13860,485
2024-01-27,tiktok,122.21,24442,537
2024-01-28,meta,297.22,34967,629
2024-01-28,google,184.57,15380,538
2024-01-28,tiktok,134.32,26863,590
2024-01-29,meta,310.34,36510,657
2024-01-29,google,164.84,13736,480
2024-01-29,tiktok,137.91,27582,606
2024-01-30,meta,320.91,37754,679
2024-01-30,google,157.91,13159,460
2024-01-30,tiktok,103.7,20740,456
2024-01-31,meta,282.53,33238,598
2024-01-31,google,186.88,15573,545
2024-01-31,tiktok,130.51,26101,574
2024-02-01,meta,323.47,37309,666
2024-02-01,google,157.21,12843,445
2024-02-01,tiktok,118.05,23147,505
2024-02-02,meta,380.49,43885,783
2024-02-02,google,182.48,14908,517
2024-02-02,tiktok,139.7,27392,597
2024-02-03,meta,367.05,42335,755
2024-02-03,google,154.39,12613,437
2024-02-03,tiktok,130.5,25588,558
2024-02-04,meta,349.25,40282,719
2024-02-04,google,182.91,14943,518
2024-02-04,tiktok,113.84,22321,487
