order_id,customer_id,order_date,channel,category,country,gross_revenue,discount,net_revenue,returned,status
ORD000001,CUST00001,2024-12-29,meta,tops,US,52.81,0.0,52.81,False,completed
ORD000002,CUST00002,2024-08-20,meta,bottoms,US,59.06,6.76,52.3,False,completed
ORD000003,CUST00003,2024-12-24,meta,outerwear,CA,107.55,0.0,16.13,True,returned
ORD000004,CUST00004,2024-04-08,meta,tops,GB,69.25,9.53,59.72,False,completed
ORD000005,CUST00005,2024-10-23,meta,outerwear,DE,169.05,0.0,25.36,True,returned
ORD000006,CUST00006,2024-09-17,meta,accessories,US,48.4,0.0,48.4,False,completed
ORD000007,CUST00007,2024-11-10,meta,bottoms,FR,69.2,0.0,10.38,True,returned
ORD000008,CUST00007,2024-12-30,meta,outerwear,FR,96.01,0.0,96.01,False,completed
ORD000009,CUST00007,2024-10-24,meta,bottoms,FR,88.19,17.12,-3.89,True,returned
ORD000010,CUST00008,2024-05-06,meta,tops,AU,65.6,8.33,1.51,True,returned
ORD000011,CUST00009,2024-04-15,meta,tops,NL,52.59,6.32,46.27,False,completed
ORD000012,CUST00009,2024-03-15,meta,outerwear,NL,165.51,0.0,165.51,False,completed
ORD000013,CUST00010,2024-11-21,meta,outerwear,GB,110.78,0.0,16.62,True,returned
ORD000014,CUST00010,2024-07-03,meta,bottoms,GB,60.91,13.79,-4.65,True,returned
ORD000015,CUST00011,2024-02-18,meta,accessories,US,33.93,4.56,0.53,True,returned
ORD000016,CUST00012,2024-04-19,meta,outerwear,US,164.52,0.0,164.52,False,completed
ORD000017,CUST00012,2024-12-21,meta,footwear,US,136.73,0.0,136.73,False,completed
ORD000018,CUST00013,2024-03-05,meta,accessories,GB,44.64,7.47,37.17,False,completed
ORD000019,CUST00013,2024-03-10,meta,outerwear,GB,172.29,22.76,3.08,True,returned
ORD000020,CUST00014,2024-10-30,meta,accessories,DE,33.5,0.0,5.03,True,returned
ORD000021,CUST00014,2024-07-03,meta,footwear,DE,134.98,0.0,20.25,True,returned
ORD000022,CUST00015,2024-04-17,meta,outerwear,US,147.22,0.0,147.22,False,completed
ORD000023,CUST00015,2024-06-20,meta,footwear,US,113.81,20.22,93.59,False,completed
ORD000024,CUST00015,2024-08-15,meta,accessories,US,50.37,11.52,-3.96,True,returned
ORD000025,CUST00016,2024-02-05,meta,tops,US,55.88,0.0,55.88,False,completed
ORD000026,CUST00017,2024-06-04,meta,bottoms,US,95.06,0.0,14.26,True,returned
ORD000027,CUST00018,2024-03-02,meta,accessories,GB,34.17,0.0,34.17,False,completed
ORD000028,CUST00018,2024-09-06,meta,bottoms,GB,73.95,15.83,58.12,False,completed
ORD000029,CUST00019,2024-09-24,meta,tops,GB,66.5,0.0,9.98,True,returned
ORD000030,CUST00020,2024-11-20,meta,outerwear,US,98.32,14.59,83.73,False,completed
ORD000031,CUST00020,2024-11-13,meta,outerwear,US,157.16,0.0,23.57,True,returned
ORD000032,CUST00021,2024-11-21,meta,tops,GB,64.21,14.01,50.2,False,completed
ORD000033,CUST00022,2024-09-07,meta,tops,US,41.39,4.85,36.54,False,completed
ORD000034,CUST00022,2024-07-30,meta,outerwear,US,168.24,37.33,-12.09,True,returned
ORD000035,CUST00023,2024-09-08,meta,bottoms,US,66.93,0.0,66.93,False,completed
ORD000036,CUST00024,2024-11-18,meta,accessories,GB,42.04,7.16,34.88,False,completed
ORD000037,CUST00025,2024-06-30,meta,tops,GB,57.57,7.88,0.76,True,returned
ORD000038,CUST00026,2024-05-18,meta,tops,FR,62.06,9.72,-0.41,True,returned
ORD000039,CUST00027,2024-06-24,meta,tops,GB,45.7,9.1,-2.24,True,returned
ORD000040,CUST00028,2024-12-05,meta,tops,GB,56.77,0.0,56.77,False,completed
ORD000041,CUST00029,2024-07-26,meta,tops,DE,43.48,0.0,43.48,False,completed
ORD000042,CUST00030,2024-08-31,meta,bottoms,US,103.93,0.0,103.93,False,completed
ORD000043,CUST00031,2024-12-19,meta,footwear,GB,85.3,9.13,3.67,True,returned
ORD000044,CUST00031,2024-03-09,meta,accessories,GB,35.08,0.0,35.08,False,completed
ORD000045,CUST00031,2024-08-14,meta,outerwear,GB,121.11,0.0,121.11,False,completed
ORD000046,CUST00032,2024-08-15,meta,footwear,US,107.89,0.0,107.89,False,completed
ORD000047,CUST00033,2024-11-12,meta,tops,GB,59.32,11.92,47.4,False,completed
ORD000048,CUST00034,2024-06-05,meta,outerwear,CA,124.33,0.0,18.65,True,returned
ORD000049,CUST00035,2024-11-01,meta,bottoms,AU,67.47,0.0,10.12,True,returned
ORD000050,CUST00035,2024-11-11,meta,outerwear,AU,131.35,0.0,131.35,False,completed
ORD000051,CUST00036,2024-05-04,meta,footwear,US,90.13,14.29,75.84,False,completed
ORD000052,CUST00037,2024-09-13,meta,bottoms,US,70.44,0.0,70.44,False,completed
ORD000053,CUST00037,2024-12-13,meta,accessories,US,33.22,0.0,33.22,False,completed
ORD000054,CUST00037,2024-06-03,meta,bottoms,US,87.53,0.0,13.13,True,returned
ORD000055,CUST00038,2024-02-04,meta,outerwear,GB,141.1,0.0,21.17,True,returned
ORD000056,CUST00038,2024-12-26,meta,tops,GB,56.73,0.0,56.73,False,completed
ORD000057,CUST00038,2024-02-03,meta,accessories,GB,48.46,0.0,48.46,False,completed
ORD000058,CUST00039,2024-03-26,meta,accessories,GB,35.71,6.84,28.87,False,completed
ORD000059,CUST00040,2024-09-21,meta,outerwear,US,99.6,22.7,76.9,False,completed
ORD000060,CUST00040,2024-04-05,meta,tops,US,43.78,0.0,43.78,False,completed
ORD000061,CUST00041,2024-08-17,meta,tops,US,47.34,6.31,41.03,False,completed
ORD000062,CUST00042,2024-02-26,meta,tops,DE,61.61,0.0,61.61,False,completed
ORD000063,CUST00043,2024-02-29,meta,bottoms,GB,83.54,0.0,12.53,True,returned
ORD000064,CUST00043,2024-09-13,meta,outerwear,GB,143.29,0.0,21.49,True,returned
ORD000065,CUST00044,2024-01-25,meta,accessories,GB,51.93,0.0,51.93,False,completed
ORD000066,CUST00044,2024-10-27,meta,outerwear,GB,144.47,22.88,121.59,False,completed
ORD000067,CUST00044,2024-07-07,meta,footwear,GB,133.8,0.0,133.8,False,completed
ORD000068,CUST00045,2024-01-07,meta,tops,GB,42.65,0.0,42.65,False,completed
ORD000069,CUST00046,2024-03-04,meta,bottoms,FR,73.58,0.0,73.58,False,completed
ORD000070,CUST00047,2024-02-02,meta,tops,US,49.58,0.0,49.58,False,completed
ORD000071,CUST00048,2024-05-05,meta,accessories,GB,44.69,0.0,44.69,False,completed
ORD000072,CUST00049,2024-12-30,meta,outerwear,US,116.52,0.0,116.52,False,completed
ORD000073,CUST00049,2024-03-15,meta,accessories,US,30.14,0.0,30.14,False,completed
ORD000074,CUST00049,2024-12-26,meta,bottoms,US,92.14,0.0,13.82,True,returned
ORD000075,CUST00050,2024-06-16,meta,bottoms,US,69.83,17.43,-6.96,True,returned
ORD000076,CUST00051,2024-12-06,meta,outerwear,GB,186.39,0.0,186.39,False,completed
ORD000077,CUST00052,2024-07-15,meta,tops,GB,48.16,5.08,2.14,True,returned
ORD000078,CUST00053,2024-10-23,meta,tops,GB,54.71,0.0,54.71,False,completed
ORD000079,CUST00053,2024-12-01,meta,bottoms,GB,53.11,12.76,40.35,False,completed
ORD000080,CUST00054,2024-12-02,meta,outerwear,US,145.86,0.0,21.88,True,returned
ORD000081,CUST00055,2024-12-16,meta,tops,US,37.52,0.0,5.63,True,returned
ORD000082,CUST00056,2024-04-09,meta,bottoms,NL,72.69,0.0,72.69,False,completed
ORD000083,CUST00057,2024-06-14,meta,tops,US,52.4,0.0,52.4,False,completed
ORD000084,CUST00057,2024-02-23,meta,footwear,US,127.27,13.72,5.37,True,returned
ORD000085,CUST00058,2024-08-04,meta,tops,US,56.59,0.0,56.59,False,completed
ORD000086,CUST00059,2024-08-10,meta,outerwear,US,109.69,0.0,16.45,True,returned
ORD000087,CUST00060,2024-10-19,meta,footwear,GB,80.34,0.0,12.05,True,returned
ORD000088,CUST00061,2024-07-13,meta,accessories,US,37.59,0.0,5.64,True,returned
ORD000089,CUST00061,2024-08-22,meta,outerwear,US,146.75,28.88,117.87,False,completed
ORD000090,CUST00062,2024-03-06,meta,tops,US,60.01,0.0,60.01,False,completed
ORD000091,CUST00063,2024-02-06,meta,bottoms,US,103.65,14.86,88.79,False,completed
ORD000092,CUST00064,2024-02-05,meta,outerwear,GB,139.5,0.0,20.92,True,returned
ORD000093,CUST00065,2024-08-23,meta,outerwear,GB,155.88,0.0,155.88,False,completed
ORD000094,CUST00066,2024-06-07,meta,accessories,GB,46.39,0.0,46.39,False,completed
ORD000095,CUST00067,2024-11-01,meta,outerwear,GB,161.11,0.0,161.11,False,completed
